cik,company,form,filing_date,document
0001045810,NVIDIA CORP,8-K,2023-11-21,nvda-20231121.htm
0001045810,NVIDIA CORP,8-K,2023-10-24,nvda-20231023.htm
0001045810,NVIDIA CORP,8-K,2023-10-17,nvda-20231017.htm
0001045810,NVIDIA CORP,10-Q,2023-08-28,nvda-20230730.htm
0001045810,NVIDIA CORP,8-K,2023-08-23,nvda-20230823.htm
0001045810,NVIDIA CORP,8-K,2023-07-24,nvda-20230724.htm
0001045810,NVIDIA CORP,8-K,2023-06-27,nvda-20230622.htm
0001045810,NVIDIA CORP,10-Q,2023-05-26,nvda-20230430.htm
0001045810,NVIDIA CORP,8-K,2023-05-24,nvda-20230524.htm
0001045810,NVIDIA CORP,DEFA14A,2023-05-08,noticeof2023annualmeeting.htm
0001045810,NVIDIA CORP,DEF 14A,2023-05-08,nvda-20230508.htm
0001045810,NVIDIA CORP,8-K,2023-03-08,nvda-20230302.htm
0001045810,NVIDIA CORP,10-K,2023-02-24,nvda-20230129.htm
0001045810,NVIDIA CORP,8-K,2023-02-22,nvda-20230222.htm
0001045810,NVIDIA CORP,SC 13G/A,2023-02-09,filing.txt
0001045810,NVIDIA CORP,SC 13G/A,2023-02-09,tv01552-nvidiacorp.htm
0001045810,NVIDIA CORP,SC 13G/A,2023-01-31,us67066g1040_013123.txt
0001045810,NVIDIA CORP,10-Q,2022-11-18,nvda-20221030.htm
0001045810,NVIDIA CORP,8-K,2022-11-16,nvda-20221116.htm
0001045810,NVIDIA CORP,8-K,2022-09-01,nvda-20220831.htm
0001045810,NVIDIA CORP,10-Q,2022-08-31,nvda-20220731.htm
0001045810,NVIDIA CORP,8-K,2022-08-31,nvda-20220826.htm
0001045810,NVIDIA CORP,8-K,2022-08-24,nvda-20220824.htm
0001045810,NVIDIA CORP,8-K,2022-08-08,nvda-20220808.htm
0001045810,NVIDIA CORP,8-K,2022-06-06,nvda-20220602.htm
0001045810,NVIDIA CORP,10-Q,2022-05-27,nvda-20220501.htm
0001045810,NVIDIA CORP,8-K,2022-05-25,nvda-20220525.htm
0001045810,NVIDIA CORP,DEFA14A,2022-04-20,noticeof2022annualmeeting.htm
0001045810,NVIDIA CORP,DEF 14A,2022-04-19,noticeof2022annualmeeting.htm
0001045810,NVIDIA CORP,DEF 14A,2022-04-19,nvda2022definitiveproxysta.htm
0001045810,NVIDIA CORP,10-K,2022-03-18,nvda-20220130.htm
0001045810,NVIDIA CORP,8-K,2022-03-09,nvda-20220303.htm
0001045810,NVIDIA CORP,8-K,2022-02-16,nvda-20220216.htm
0001045810,NVIDIA CORP,SC 13G/A,2022-02-10,tv01553-nvidiacorp.htm
0001045810,NVIDIA CORP,SC 13G/A,2022-02-09,filing.txt
0001045810,NVIDIA CORP,8-K,2022-02-08,nvda-20220208.htm
0001045810,NVIDIA CORP,SC 13G/A,2022-02-01,us67066g1040_020122.txt
0001045810,NVIDIA CORP,10-Q,2021-11-22,nvda-20211031.htm
0001045810,NVIDIA CORP,8-K,2021-11-17,nvda-20211117.htm
0001045810,NVIDIA CORP,10-Q,2021-08-20,nvda-20210801.htm
0001045810,NVIDIA CORP,8-K,2021-08-18,nvda-20210818.htm
0001045810,NVIDIA CORP,8-K,2021-06-28,nvda-20210628.htm
0001045810,NVIDIA CORP,8-K,2021-06-16,d80739d8k.htm
0001045810,NVIDIA CORP,8-K,2021-06-07,nvda-20210603.htm
0001045810,NVIDIA CORP,10-Q,2021-05-26,nvda-20210502.htm
